# Colour audit — design-system, blog
# Generated by scripts/audit-colour-history.mjs. Evidence, not a source: every value here
# already originates somewhere, and nothing may read this file to obtain a colour.
# Regenerate with: node scripts/audit-colour-history.mjs
#
# 304 distinct values authored on or after 2026. AUTHORED=97 INCIDENTAL=21 RETIRED=162 VENDORED=24
# AUTHORED live in a theme/token/component file · INCIDENTAL live only in one-off surfaces
# VENDORED live only in imported artwork · RETIRED present in history, gone at HEAD
#
hex	tag	family	hue	L	C	commits	first	last	repos	site
#ffffff	AUTHORED	neutral	90	1.000	0.000	570	2021-08-09	2026-09-09	blog+design-system	design-system/docs/theming.md
#000000	AUTHORED	neutral	0	0.000	0.000	569	2021-08-09	2026-09-09	blog+design-system	design-system/docs/visual-regression.md
#22d3ee	AUTHORED	cyan	212	0.797	0.134	534	2026-01-18	2026-09-09	blog+design-system	design-system/docs/adr/0001-hues-declared-below-roles.md
#18181b	AUTHORED	neutral	286	0.210	0.006	533	2026-01-18	2026-09-09	blog+design-system	design-system/docs/surface-readiness.md
#39ff14	AUTHORED	green	142	0.871	0.286	533	2026-01-18	2026-09-09	blog+design-system	design-system/src/theme.css
#ec4899	AUTHORED	pink	354	0.656	0.212	533	2026-01-18	2026-09-09	blog+design-system	design-system/docs/evaluation.md
#facc15	AUTHORED	yellow	92	0.861	0.173	533	2026-01-18	2026-09-09	blog+design-system	design-system/docs/evaluation.md
#0a0a1a	AUTHORED	neutral	282	0.155	0.034	507	2026-06-28	2026-09-09	blog+design-system	design-system/docs/theming.md
#6b7280	INCIDENTAL	neutral	264	0.551	0.023	482	2026-01-14	2026-09-09	blog+design-system	design-system/docs/gap-analysis.md
#2563eb	AUTHORED	blue	263	0.546	0.215	471	2026-01-14	2026-09-09	blog+design-system	design-system/src/theme.css
#ff0000	AUTHORED	red	29	0.628	0.258	468	2026-01-18	2026-09-09	blog+design-system	design-system/src/lint.test.ts
#00ffff	AUTHORED	cyan	195	0.905	0.155	437	2026-01-18	2026-09-08	blog+design-system	blog/components/graphics/palette.ts
#cccccc	INCIDENTAL	neutral	90	0.845	0.000	437	2022-08-19	2026-09-09	blog+design-system	design-system/reference/bookofshapes/README.md
#e6e6e6	VENDORED	neutral	90	0.925	0.000	426	2022-08-19	2026-09-08	blog+design-system	blog/public/static/batch/diagrams/array.drawio.svg
#808080	VENDORED	neutral	90	0.600	0.000	420	2022-08-19	2026-09-08	blog+design-system	blog/public/static/batch/diagrams/array.drawio.svg
#5bbad5	AUTHORED	cyan	219	0.742	0.097	419	2021-08-09	2026-09-08	blog	blog/pages/_document.tsx
#93ddfd	INCIDENTAL	cyan	227	0.860	0.086	419	2021-08-09	2026-09-08	blog	blog/tailwind.config.js
#b5f4a5	INCIDENTAL	green	139	0.905	0.123	419	2021-08-09	2026-09-08	blog	blog/tailwind.config.js
#d9a9ff	INCIDENTAL	violet	309	0.809	0.128	419	2021-08-09	2026-09-08	blog	blog/lib/og/headerImage.mjs
#ff8383	INCIDENTAL	red	21	0.749	0.151	419	2021-08-09	2026-09-08	blog	blog/tailwind.config.js
#ffe484	INCIDENTAL	yellow	94	0.921	0.120	419	2021-08-09	2026-09-08	blog	blog/tailwind.config.js
#006eaf	VENDORED	blue	245	0.520	0.132	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/dependent-jobs.drawio.svg
#1ba1e2	VENDORED	blue	237	0.673	0.142	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/dependent-jobs.drawio.svg
#2d7600	VENDORED	green	138	0.500	0.155	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#314354	VENDORED	blue	247	0.375	0.037	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/dependent-jobs.drawio.svg
#3700cc	VENDORED	violet	276	0.404	0.253	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/dependent-jobs.drawio.svg
#60a917	VENDORED	green	134	0.661	0.182	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#647687	VENDORED	neutral	247	0.557	0.034	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/dependent-jobs.drawio.svg
#666666	VENDORED	neutral	90	0.510	0.000	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#6a00ff	VENDORED	violet	287	0.508	0.293	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/dependent-jobs.drawio.svg
#8833aa	VENDORED	magenta	315	0.496	0.189	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#888888	VENDORED	neutral	90	0.627	0.000	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#959595	VENDORED	neutral	90	0.670	0.000	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#aa66dd	VENDORED	violet	308	0.636	0.181	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#aaaaaa	VENDORED	neutral	90	0.738	0.000	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#b20000	VENDORED	red	29	0.479	0.197	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/dependent-jobs.drawio.svg
#cc0000	VENDORED	red	29	0.531	0.218	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#dddddd	VENDORED	neutral	90	0.898	0.000	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#e51400	VENDORED	red	30	0.584	0.233	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/dependent-jobs.drawio.svg
#e8e8e8	VENDORED	neutral	90	0.931	0.000	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#f0f0f0	VENDORED	neutral	90	0.955	0.000	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#ffff88	VENDORED	yellow	109	0.976	0.142	416	2022-08-19	2026-09-08	blog	blog/public/static/batch/diagrams/array.drawio.svg
#ff8c00	AUTHORED	orange	58	0.751	0.179	410	2026-06-28	2026-09-08	blog+design-system	blog/components/interactive/DepResolve.tsx
#3b82f6	VENDORED	blue	260	0.623	0.188	390	2026-01-14	2026-09-08	blog	blog/public/static/batch/diagrams/array-themed.svg
#00ff00	AUTHORED	green	142	0.866	0.295	387	2026-01-18	2026-09-08	blog+design-system	blog/tests/theme-engine.test.ts
#000033	AUTHORED	blue	264	0.145	0.101	383	2026-01-18	2026-09-08	blog	blog/pages/design-sandbox/homepage-heroes.tsx
#0a0a0a	AUTHORED	neutral	90	0.145	0.000	383	2026-01-18	2026-09-08	blog	blog/pages/design-sandbox/diagrams.tsx
#1a0033	AUTHORED	violet	301	0.179	0.095	383	2026-01-18	2026-09-08	blog	blog/pages/design-sandbox/homepage-heroes.tsx
#27272a	AUTHORED	neutral	286	0.274	0.005	383	2026-01-18	2026-09-08	blog	blog/components/interactive/DepResolve.tsx
#330066	AUTHORED	violet	297	0.276	0.150	383	2026-01-18	2026-09-08	blog	blog/pages/design-sandbox/homepage-heroes.tsx
#71717a	AUTHORED	neutral	286	0.552	0.014	383	2026-01-18	2026-09-08	blog	blog/css/tailwind.css
#a1a1aa	AUTHORED	neutral	286	0.712	0.013	383	2026-01-18	2026-09-08	blog	blog/css/tailwind.css
#ff00ff	AUTHORED	magenta	328	0.702	0.322	383	2026-01-18	2026-09-08	blog	blog/pages/design-sandbox/homepage-heroes.tsx
#ff1493	AUTHORED	pink	357	0.655	0.261	383	2026-01-18	2026-09-08	blog	blog/pages/design-sandbox/homepage-heroes.tsx
#ff6b35	AUTHORED	red	39	0.705	0.193	383	2026-01-18	2026-09-08	blog	blog/pages/design-sandbox/homepage-heroes.tsx
#ffaa00	AUTHORED	orange	73	0.802	0.171	383	2026-01-18	2026-09-08	blog	blog/pages/design-sandbox/homepage-heroes.tsx
#ffff00	AUTHORED	yellow	110	0.968	0.211	383	2026-01-18	2026-09-08	blog	blog/pages/design-sandbox/homepage-heroes.tsx
#34d399	AUTHORED	teal	163	0.773	0.153	364	2026-01-14	2026-09-09	blog+design-system	design-system/docs/gap-analysis.md
#23262e	AUTHORED	neutral	269	0.269	0.016	360	2026-07-14	2026-09-09	blog+design-system	design-system/docs/surface-readiness.md
#f5f3ec	AUTHORED	neutral	94	0.964	0.010	360	2026-07-14	2026-09-09	blog+design-system	design-system/docs/surface-readiness.md
